timestamp,time,id,channel,temperature,humidity,strike_count,storm_dist,active,rfi,ussb1,battery,exception,raw_msg,Console (Miles)
1536264465750,2018-09-06 20:07:45,14052,B,74.3,68,16,10,1,0,1,OK,0,b6e46f44d1c390ca3b,
1536264466199,2018-09-06 20:07:46,228,C,77.3,71,12,8,1,0,0,OK,0,00e46f47d1e10c88e0,
1536264481425,2018-09-06 20:08:01,14052,B,74.1,68,16,10,1,0,1,OK,0,b6e46f44d14190cab9,
1536264482430,2018-09-06 20:08:02,228,C,77.3,71,12,8,1,0,1,OK,0,00e46f47d1e10c48a0,
1536264489271,2018-09-06 20:08:09,14052,B,74.1,68,16,10,1,1,1,OK,0,b6e46f44d141906a59,
1536264497651,2018-09-06 20:08:17,14052,B,74.1,68,16,10,1,0,1,OK,0,b6e46f44d14190cab9,
1536264498150,2018-09-06 20:08:18,228,C,77.3,71,12,8,1,0,1,OK,0,00e46f47d1e10c48a0,
1536264505517,2018-09-06 20:08:25,14052,B,73.9,70,16,10,1,0,1,OK,0,b6e46fc6d13f90ca39,
1536264513384,2018-09-06 20:08:33,14052,B,73.9,70,16,10,1,0,1,OK,0,b6e46fc6d13f90ca39,
1536264521262,2018-09-06 20:08:41,14052,B,73.9,70,16,10,1,0,1,OK,0,b6e46fc6d13f90ca39,
1536264522327,2018-09-06 20:08:42,228,C,77.2,72,12,8,1,0,1,OK,0,00e46f48d1600c4820,
1536264529662,2018-09-06 20:08:49,14052,B,73.9,70,16,10,1,0,1,OK,0,b6e46fc6d13f90ca39,
1536264537496,2018-09-06 20:08:57,14052,B,73.9,70,17,10,1,1,0,OK,0,b6e46fc6d13f11aa9a,
1536264561619,2018-09-06 20:09:21,14052,B,73.7,70,17,10,1,1,0,OK,0,b6e46fc6d1bd11aa18,
1536264578367,2018-09-06 20:09:38,228,C,77,71,12,8,1,0,1,OK,0,00e46f47d1de0c489d,
1536264586233,2018-09-06 20:09:46,228,C,77,71,12,8,1,0,1,OK,0,00e46f47d1de0c489d,
1536264593592,2018-09-06 20:09:53,14052,B,73.6,70,17,10,1,0,0,OK,0,b6e46fc6d13c110af7,
1536264601474,2018-09-06 20:10:01,14052,B,73.4,71,17,10,1,0,0,OK,0,b6e46f47d13a110a76,
1536264609334,2018-09-06 20:10:09,14052,B,73.4,71,17,10,1,0,0,OK,0,b6e46f47d13a110a76,
1536264610377,2018-09-06 20:10:10,228,C,77,72,12,8,1,0,1,OK,0,00e46f48d1de0c489e,
1536264617685,2018-09-06 20:10:17,14052,B,73.4,71,17,12,1,0,1,OK,0,b6e46f47d13a11cc38,
1536264618246,2018-09-06 20:10:18,228,C,77,72,12,8,1,1,1,OK,0,00e46f48d1de0ce83e,
